cell,cpu,dataset,backend,music_pump,flips,render_s,per_loop_fps,overhead_s,median_fps,route
G17,POD-83,2026-08-10-POD83-picogus-v170-sfx,wb,0,3074,126,30.14,24,32.3,full
G22,POD-83,2026-08-10-POD83-picogus-v170-sfx,gus,1,3279,147,32.15,45,NA_pump,full
G23A,POD-83,2026-08-10-POD83-picogus-v170-sfx,gus,1,3265,149,32.01,47,NA_pump,full
G23B,POD-83,2026-08-10-POD83-picogus-v170-sfx,gus,1,3294,150,32.29,48,NA_pump,full
G31,POD-83,2026-08-10-POD83-picogus-v170-sfx,opl3,0,3196,124,31.33,22,32.3,full
G41,POD-83,2026-08-10-POD83-picogus-v170-sfx,adlib,1,3260,121,31.96,19,NA_pump,full
G51,POD-83,2026-08-10-POD83-picogus-v170-sfx,opl3,0,3221,127,31.58,25,33.3,full
G60,POD-83,2026-08-10-POD83-picogus-v170-sfx,opl3,0,3244,124,31.80,22,32.3,full
G61,POD-83,2026-08-10-POD83-picogus-v170-sfx,opl3,0,3208,126,31.45,24,32.3,full
G62,POD-83,2026-08-10-POD83-picogus-v170-sfx,adlib,1,3285,120,32.21,18,NA_pump,full
GC3,POD-83,2026-08-10-POD83-picogus-v170-sfx,organya,0,2906,129,28.49,27,29.4,full
GC4,POD-83,2026-08-10-POD83-picogus-v170-sfx,opl3,0,3201,124,31.38,22,32.3,full
GC5,POD-83,2026-08-10-POD83-picogus-v170-sfx,adlib,1,3268,121,32.04,19,NA_pump,full
G02,POD-83,2026-08-11-POD83-vibra-VB1,opl3,0,3112,125,30.51,23,31.2,full
G111,POD-83,2026-08-11-POD83-vibra-VB1,organya,0,2774,129,27.20,27,27.8,full
G112,POD-83,2026-08-11-POD83-vibra-VB1,organya,0,2082,157,20.41,55,21.3,full
G16,POD-83,2026-08-11-POD83-vibra-VB1,opl3,0,3097,123,30.36,21,32.3,full
G17,POD-83,2026-08-11-POD83-vibra-VB1,wb,0,2959,126,29.01,24,30.3,full
G18,POD-83,2026-08-11-POD83-vibra-VB1,opl3,0,3109,124,30.48,22,31.2,full
G51C,POD-83,2026-08-11-POD83-video-lanes,opl3,0,3063,123,30.03,21,31.2,full
G51V,POD-83,2026-08-11-POD83-video-lanes,opl3,0,3210,124,31.47,22,33.3,full
GC4C,POD-83,2026-08-11-POD83-video-lanes,opl3,0,3101,124,30.40,22,31.2,full
GC4V,POD-83,2026-08-11-POD83-video-lanes,opl3,0,3223,124,31.60,22,32.3,full
A02,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3112,130,30.51,28,31.2,full
A111,Am5x86-133,2026-08-11-Am5x86-full,organya,0,2767,136,27.13,34,27.8,full
A112,Am5x86-133,2026-08-11-Am5x86-full,organya,0,2053,166,20.13,64,21.3,full
A16,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3108,131,30.47,29,31.2,full
