cell,cpu,dataset,backend,music_pump,flips,render_s,per_loop_fps,overhead_s,median_fps,route
A17,Am5x86-133,2026-08-11-Am5x86-full,wb,0,2965,134,29.07,32,30.3,full
A18,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3107,132,30.46,30,31.2,full
A22,Am5x86-133,2026-08-11-Am5x86-full,gus,1,3249,147,31.85,45,NA_pump,full
A23A,Am5x86-133,2026-08-11-Am5x86-full,gus,1,3254,147,31.90,45,NA_pump,full
A23B,Am5x86-133,2026-08-11-Am5x86-full,gus,1,3248,148,31.84,46,NA_pump,full
A31,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3198,129,31.35,27,32.3,full
A41,Am5x86-133,2026-08-11-Am5x86-full,adlib,1,3246,121,31.82,19,NA_pump,full
A51C,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3055,130,29.95,28,30.3,full
A51,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3202,132,31.39,30,32.3,full
A51V,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3207,129,31.44,27,33.3,full
A60,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3219,130,31.56,28,32.3,full
A61,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3201,131,31.38,29,32.3,full
A62,Am5x86-133,2026-08-11-Am5x86-full,adlib,1,3238,120,31.75,18,NA_pump,full
AC3,Am5x86-133,2026-08-11-Am5x86-full,organya,0,2879,134,28.23,32,29.4,full
AC4C,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3075,130,30.15,28,31.2,full
AC4,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3195,129,31.32,27,32.3,full
AC4V,Am5x86-133,2026-08-11-Am5x86-full,opl3,0,3190,129,31.27,27,32.3,full
AC5,Am5x86-133,2026-08-11-Am5x86-full,adlib,1,3217,120,31.54,18,NA_pump,full
602,486DX2-66,2026-08-11-DX266-full,opl3,0,2285,146,22.40,44,22.7,full
6111,486DX2-66,2026-08-11-DX266-full,organya,0,1948,152,19.10,50,19.6,full
6112,486DX2-66,2026-08-11-DX266-full,organya,0,1383,198,13.56,96,13.0,full
616,486DX2-66,2026-08-11-DX266-full,opl3,0,2270,146,22.25,44,22.7,full
617,486DX2-66,2026-08-11-DX266-full,wb,0,2202,149,21.59,47,22.7,full
618,486DX2-66,2026-08-11-DX266-full,opl3,0,2258,147,22.14,45,22.2,full
622,486DX2-66,2026-08-11-DX266-full,gus,1,2472,155,24.24,53,NA_pump,full
623A,486DX2-66,2026-08-11-DX266-full,gus,1,2467,155,24.19,53,NA_pump,full
623B,486DX2-66,2026-08-11-DX266-full,gus,1,2469,157,24.21,55,NA_pump,full
631,486DX2-66,2026-08-11-DX266-full,opl3,0,2366,145,23.20,43,23.8,full
641,486DX2-66,2026-08-11-DX266-full,adlib,1,2403,127,23.56,25,NA_pump,full
651C,486DX2-66,2026-08-11-DX266-full,opl3,0,2296,144,22.51,42,23.8,full
651,486DX2-66,2026-08-11-DX266-full,opl3,0,2367,145,23.21,43,23.8,full
651V,486DX2-66,2026-08-11-DX266-full,opl3,0,2370,145,23.24,43,23.8,full
660,486DX2-66,2026-08-11-DX266-full,opl3,0,2426,144,23.78,42,25.0,full
661,486DX2-66,2026-08-11-DX266-full,opl3,0,2356,145,23.10,43,23.8,full
662,486DX2-66,2026-08-11-DX266-full,adlib,1,2467,127,24.19,25,NA_pump,full
6C3,486DX2-66,2026-08-11-DX266-full,organya,0,2044,150,20.04,48,20.8,full
6C4C,486DX2-66,2026-08-11-DX266-full,opl3,0,2287,144,22.42,42,23.3,full
6C4,486DX2-66,2026-08-11-DX266-full,opl3,0,2368,145,23.22,43,23.8,full
6C4V,486DX2-66,2026-08-11-DX266-full,opl3,0,2365,144,23.19,42,23.8,full
6C5,486DX2-66,2026-08-11-DX266-full,adlib,1,2404,127,23.57,25,NA_pump,full
502,486DX2-50,2026-08-11-DX250-full,opl3,0,1710,161,16.76,59,16.1,full
5111,486DX2-50,2026-08-11-DX250-full,organya,0,1454,172,14.25,70,13.2,full
5112,486DX2-50,2026-08-11-DX250-full,organya,0,1436,283,14.08,181,8.1,full
516,486DX2-50,2026-08-11-DX250-full,opl3,0,1700,160,16.67,58,16.1,full
517,486DX2-50,2026-08-11-DX250-full,wb,0,1657,162,16.25,60,15.9,full
518,486DX2-50,2026-08-11-DX250-full,opl3,0,1685,160,16.52,58,16.1,full
522,486DX2-50,2026-08-11-DX250-full,gus,1,1867,168,18.30,66,NA_pump,full
523A,486DX2-50,2026-08-11-DX250-full,gus,1,1861,169,18.25,67,NA_pump,full
523B,486DX2-50,2026-08-11-DX250-full,gus,1,1859,169,18.23,67,NA_pump,full
531,486DX2-50,2026-08-11-DX250-full,opl3,0,1772,158,17.37,56,17.2,full
541,486DX2-50,2026-08-11-DX250-full,adlib,1,1828,134,17.92,32,NA_pump,full
551C,486DX2-50,2026-08-11-DX250-full,opl3,0,1742,160,17.08,58,16.7,full
551,486DX2-50,2026-08-11-DX250-full,opl3,0,1774,159,17.39,57,17.2,full
551V,486DX2-50,2026-08-11-DX250-full,opl3,0,1774,159,17.39,57,17.2,full
560,486DX2-50,2026-08-11-DX250-full,opl3,0,1814,157,17.78,55,17.5,full
561,486DX2-50,2026-08-11-DX250-full,opl3,0,1773,160,17.38,58,17.2,full
562,486DX2-50,2026-08-11-DX250-full,adlib,1,1864,133,18.27,31,NA_pump,full
5C3,486DX2-50,2026-08-11-DX250-full,organya,0,1503,170,14.74,68,14.1,full
5C4C,486DX2-50,2026-08-11-DX250-full,opl3,0,1724,159,16.90,57,16.7,full
5C4,486DX2-50,2026-08-11-DX250-full,opl3,0,1774,158,17.39,56,17.2,full
5C4V,486DX2-50,2026-08-11-DX250-full,opl3,0,1777,159,17.42,57,17.2,full
5C5,486DX2-50,2026-08-11-DX250-full,adlib,1,1825,134,17.89,32,NA_pump,full
